recipient_length,theme_length,length_difference,recipient_pronoun,theme_pronoun,score,is_balanced,verb_lemma
1,2,-0.6931471805599453,0.5,-0.5,-0.5353021622,-0.5,get
1,1,0.0,0.5,-0.5,-0.9740712643,-0.5,buy
1,2,-0.6931471805599453,0.5,-0.5,-0.3501868248,-0.5,get
1,3,-1.0986122886681098,0.5,-0.5,-0.0347161293,-0.5,give
1,1,0.0,0.5,-0.5,-1.061118126,-0.5,serve
1,2,-0.6931471805599453,0.5,-0.5,-0.145005703,-0.5,pay
1,2,-0.6931471805599453,0.5,-0.5,0.07472372055,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.3398633003,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.01470851898,-0.5,give
1,7,-1.9459101490553135,0.5,-0.5,0.2726991177,-0.5,bring
1,2,-0.6931471805599453,0.5,-0.5,-0.07948112488,-0.5,lend
1,2,-0.6931471805599453,0.5,-0.5,0.09044027328,-0.5,bring
1,2,-0.6931471805599453,0.5,-0.5,-0.1627991199,-0.5,get
1,2,-0.6931471805599453,0.5,-0.5,-0.4409034252,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.09930038452,-0.5,give
1,1,0.0,0.5,-0.5,-0.009567260742,-0.5,give
1,2,-0.6931471805599453,0.5,0.5,0.1459772587,-0.5,show
1,2,-0.6931471805599453,0.5,-0.5,0.8916227818,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.110585928,-0.5,bring
1,5,-1.6094379124341003,0.5,-0.5,0.6449580193,-0.5,tell
1,1,0.0,0.5,-0.5,-0.2728891373,-0.5,ask
1,2,-0.6931471805599453,0.5,-0.5,0.647342205,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.1746470928,-0.5,get
1,3,-1.0986122886681098,0.5,-0.5,0.3008902073,-0.5,give
1,4,-1.3862943611198906,0.5,-0.5,0.01107168198,-0.5,give
1,10,-2.3025850929940455,0.5,-0.5,-0.2534229755,-0.5,get
1,8,-2.0794415416798357,0.5,-0.5,0.2603263855,-0.5,show
1,6,-1.791759469228055,0.5,-0.5,0.198189497,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.334695816,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.01727032661,-0.5,tell
1,3,-1.0986122886681098,0.5,-0.5,-0.1552524567,-0.5,get
1,2,-0.6931471805599453,0.5,-0.5,-0.05125117302,-0.5,write
1,1,0.0,0.5,-0.5,0.05310058594,-0.5,give
1,1,0.0,0.5,0.5,1.007328987,-0.5,show
1,13,-2.5649493574615367,0.5,-0.5,0.09119224548,-0.5,give
1,5,-1.6094379124341003,0.5,-0.5,0.2852244377,-0.5,give
1,5,-1.6094379124341003,0.5,-0.5,0.0003492832184,-0.5,send
1,2,-0.6931471805599453,0.5,-0.5,-0.05736207962,-0.5,buy
1,1,0.0,0.5,-0.5,-0.1466116905,-0.5,give
1,5,-1.6094379124341003,0.5,-0.5,0.3857865334,-0.5,give
1,1,0.0,0.5,-0.5,0.140481472,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.2181124687,-0.5,hand
1,1,0.0,0.5,-0.5,0.3037569523,-0.5,give
1,4,-1.3862943611198906,0.5,-0.5,0.06634140015,-0.5,give
1,3,-1.0986122886681098,0.5,-0.5,0.1793546677,-0.5,give
1,11,-2.3978952727983707,0.5,-0.5,0.506970644,-0.5,give
1,1,0.0,0.5,0.5,0.1881132126,-0.5,tell
1,2,-0.6931471805599453,0.5,-0.5,0.9201946259,-0.5,give
1,3,-1.0986122886681098,0.5,-0.5,0.3476653099,-0.5,show
1,5,-1.6094379124341003,0.5,-0.5,0.6287140846,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.3210736513,-0.5,get
1,2,-0.6931471805599453,0.5,-0.5,0.07600283623,-0.5,get
1,2,-0.6931471805599453,0.5,-0.5,-0.03344917297,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.1146223545,-0.5,give
2,5,-0.916290731874155,0.5,-0.5,0.01133465767,-0.5,grant
1,2,-0.6931471805599453,0.5,-0.5,-0.4106004238,-0.5,give
1,1,0.0,0.5,0.5,0.8743207455,-0.5,tell
1,4,-1.3862943611198906,0.5,-0.5,-0.03106784821,-0.5,make
2,9,-1.5040773967762742,0.5,-0.5,0.7341315746,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.1026184559,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.03980016708,-0.5,lend
1,18,-2.890371757896165,0.5,-0.5,0.4720032215,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.1982841492,-0.5,owe
1,9,-2.1972245773362196,0.5,-0.5,-0.3600039482,-0.5,win
1,1,0.0,0.5,-0.5,0.1893262863,-0.5,give
1,4,-1.3862943611198906,0.5,-0.5,0.6933531761,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.5741269588,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.3763689995,-0.5,give
1,7,-1.9459101490553135,0.5,-0.5,0.1062145233,-0.5,earn
1,7,-1.9459101490553135,0.5,-0.5,0.06392526627,-0.5,give
1,5,-1.6094379124341003,0.5,-0.5,0.1342995167,-0.5,give
1,5,-1.6094379124341003,0.5,-0.5,0.4063346386,-0.5,get
1,2,-0.6931471805599453,0.5,-0.5,0.6093938351,-0.5,tell
1,3,-1.0986122886681098,0.5,-0.5,0.3576467037,-0.5,give
1,3,-1.0986122886681098,0.5,0.5,0.9254870415,-0.5,tell
1,6,-1.791759469228055,0.5,-0.5,-0.03589773178,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.1469225883,-0.5,get
1,1,0.0,0.5,0.5,0.5559680462,-0.5,tell
1,4,-1.3862943611198906,0.5,-0.5,0.2944307327,-0.5,show
1,8,-2.0794415416798357,0.5,-0.5,0.224758625,-0.5,give
1,3,-1.0986122886681098,0.5,-0.5,-0.02659320831,-0.5,give
1,13,-2.5649493574615367,0.5,-0.5,0.6143693924,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.1246109009,-0.5,promise
1,13,-2.5649493574615367,0.5,-0.5,0.3699119091,-0.5,tell
1,2,-0.6931471805599453,0.5,-0.5,0.2174401283,-0.5,ask
1,2,-0.6931471805599453,0.5,-0.5,0.464091301,-0.5,tell
1,5,-1.6094379124341003,0.5,-0.5,0.6518213749,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.05291938782,-0.5,pour
1,2,-0.6931471805599453,0.5,-0.5,0.06657791138,-0.5,tell
1,3,-1.0986122886681098,0.5,-0.5,-0.1238901615,-0.5,pay
1,2,-0.6931471805599453,0.5,-0.5,0.121773243,-0.5,give
1,8,-2.0794415416798357,0.5,-0.5,-0.05129051208,-0.5,earn
1,2,-0.6931471805599453,0.5,-0.5,0.2278809547,-0.5,give
1,19,-2.9444389791664407,0.5,-0.5,0.04705476761,-0.5,bring
1,3,-1.0986122886681098,0.5,-0.5,-0.456594944,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.07851552963,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.1966807842,-0.5,show
1,1,0.0,0.5,0.5,-0.7833299637,-0.5,hand
1,12,-2.4849066497880004,0.5,-0.5,-0.1213777065,-0.5,win
1,2,-0.6931471805599453,0.5,-0.5,0.06394600868,-0.5,gain
1,2,-0.6931471805599453,0.5,-0.5,0.5806517601,-0.5,offer
1,2,-0.6931471805599453,0.5,-0.5,-0.009296417236,-0.5,bring
1,2,-0.6931471805599453,0.5,-0.5,0.2450976372,-0.5,give
1,3,-1.0986122886681098,0.5,-0.5,0.1187183857,-0.5,bring
1,2,-0.6931471805599453,0.5,-0.5,0.234256506,-0.5,show
1,2,-0.6931471805599453,0.5,-0.5,0.09022021294,-0.5,give
1,4,-1.3862943611198906,0.5,-0.5,-0.1250796318,-0.5,pass
1,7,-1.9459101490553135,0.5,-0.5,0.1165530682,-0.5,sell
1,4,-1.3862943611198906,0.5,-0.5,0.2390317917,-0.5,show
1,2,-0.6931471805599453,0.5,-0.5,-0.01338768005,-0.5,gain
1,2,-0.6931471805599453,0.5,-0.5,0.004454612732,-0.5,buy
1,1,0.0,0.5,0.5,0.5833630562,-0.5,tell
1,2,-0.6931471805599453,0.5,-0.5,0.07105493546,-0.5,give
1,1,0.0,0.5,0.5,-0.01330637932,-0.5,get
1,3,-1.0986122886681098,0.5,-0.5,0.3024809361,-0.5,show
1,7,-1.9459101490553135,0.5,-0.5,0.3806385994,-0.5,give
1,1,0.0,0.5,-0.5,-0.3338637352,-0.5,show
1,2,-0.6931471805599453,0.5,-0.5,0.6207299232,-0.5,tell
1,2,-0.6931471805599453,0.5,-0.5,0.2642469406,-0.5,hand
1,3,-1.0986122886681098,0.5,-0.5,0.1668672562,-0.5,show
1,2,-0.6931471805599453,0.5,-0.5,0.7029008865,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.2213411331,-0.5,show
1,2,-0.6931471805599453,0.5,-0.5,-0.001512765884,-0.5,give
1,7,-1.9459101490553135,0.5,-0.5,0.6729865074,-0.5,show
1,2,-0.6931471805599453,0.5,-0.5,0.218462944,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.2184729576,-0.5,give
1,4,-1.3862943611198906,0.5,0.5,0.9671683311,-0.5,give
1,4,-1.3862943611198906,0.5,-0.5,-0.669823885,-0.5,get
1,1,0.0,0.5,-0.5,-0.03609156609,-0.5,buy
1,1,0.0,0.5,-0.5,0.1025111675,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.2203888893,-0.5,throw
1,3,-1.0986122886681098,0.5,-0.5,0.01529884338,-0.5,buy
1,3,-1.0986122886681098,0.5,-0.5,0.1699392796,-0.5,bring
1,1,0.0,0.5,0.5,-0.0175409317,-0.5,tell
1,2,-0.6931471805599453,0.5,-0.5,-0.5428991318,-0.5,save
